Restaurant Name,City,Fine Dining
The Gourmet Table,New York,Yes
Burger Palace,Los Angeles,No
Urban Grill,Chicago,No
Sushi Zen,Houston,Yes
Pasta Fresca,Phoenix,Yes
The Golden Fork,Philadelphia,Yes
Taco Fiesta,San Antonio,No
Crimson Plate,San Diego,Yes
Steakhouse Royale,Dallas,Yes
Pizza Haven,San Jose,No
The Velvet Spoon,Austin,Yes
Authentic Curry,Jacksonville,No
The French Bistro,Fort Worth,Yes
The Rustic Kitchen,Columbus,No
The Lobster Shack,Charlotte,Yes
Burger Town,San Francisco,No
Dim Sum Delight,Indianapolis,Yes
The Elegant Eatery,Seattle,Yes
Barbecue Bonanza,Denver,No
The Cozy Diner,Washington D.C.,No
The Sunrise Café,Boston,No
The Spice Route,El Paso,Yes
Ocean’s Bounty,Detroit,Yes
The Artisan's Table,Nashville,Yes
Grill & Chill,Portland,No
Bella Italia,Memphis,Yes
Noodle Nirvana,Oklahoma City,No
Seaside Bites,Las Vegas,No
The Chef’s Choice,Louisville,Yes
Ramen Republic,Baltimore,No
